epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44302,3.29214,5.3777,1.34975,0.00502,0.28705,0.00802,0.00241,2.30122,3.9414,1.25008,0.00040008,0.00040008,0.00040008
2,9.47047,2.48696,2.68269,1.01856,0.00883,0.50248,0.01028,0.00401,2.29632,3.47095,1.21017,0.000808743,0.000808743,0.000808743
3,12.7315,2.29765,2.1676,0.96609,0.00906,0.48917,0.0752,0.03519,2.30661,3.06411,1.19182,0.00120916,0.00120916,0.00120916
4,16.6449,2.20669,1.91658,0.9756,0.36771,0.31788,0.50533,0.2327,2.26138,2.4402,1.208,0.00160132,0.00160132,0.00160132
5,20.6388,2.17472,1.72993,0.96417,0.48593,0.47671,0.38224,0.14158,2.19399,2.09424,1.18802,0.00160099,0.00160099,0.00160099
6,24.501,2.1692,1.59198,0.95508,0.79342,0.54275,0.57506,0.22141,2.23808,1.84787,1.17677,0.00158448,0.00158448,0.00158448
7,27.9275,2.04231,1.46591,0.93154,0.92605,0.4856,0.58523,0.23258,2.19933,1.96267,1.19544,0.00156798,0.00156798,0.00156798
8,31.6796,2.0293,1.39108,0.94368,0.77517,0.53651,0.58193,0.22647,2.19264,1.62784,1.20878,0.00155148,0.00155148,0.00155148
9,34.9548,1.98735,1.33219,0.9452,0.76168,0.5506,0.60431,0.22588,2.2104,1.60368,1.17389,0.00153497,0.00153497,0.00153497
10,38.3424,2.00134,1.29475,0.92186,0.77547,0.40424,0.48168,0.18477,2.31239,1.54124,1.17911,0.00151847,0.00151847,0.00151847
11,41.7133,2.02552,1.27848,0.92706,0.57592,0.68735,0.63582,0.23852,2.19316,1.24513,1.15088,0.00150197,0.00150197,0.00150197
12,45.3989,1.94414,1.18875,0.92888,0.82031,0.5688,0.64947,0.27104,2.15014,1.54739,1.13155,0.00148546,0.00148546,0.00148546
13,49.0901,1.9552,1.14938,0.92894,0.79586,0.57962,0.68566,0.30067,2.18462,1.30282,1.18216,0.00146896,0.00146896,0.00146896
14,52.7374,1.89769,1.10982,0.91582,0.82829,0.61817,0.7253,0.28121,2.26564,1.36459,1.18765,0.00145246,0.00145246,0.00145246
15,56.1981,1.91427,1.10508,0.92302,0.69397,0.52242,0.59308,0.20401,2.23888,1.36191,1.15805,0.00143595,0.00143595,0.00143595
16,59.7725,1.93028,1.06529,0.92092,0.78645,0.57807,0.66673,0.28172,2.23943,1.462,1.18198,0.00141945,0.00141945,0.00141945
17,63.3022,1.87779,1.03909,0.90447,0.82629,0.56437,0.65196,0.33112,1.99135,1.59817,1.14622,0.00140295,0.00140295,0.00140295
18,67.1746,1.8614,0.99098,0.92647,0.8115,0.60688,0.6893,0.3271,1.95872,1.34014,1.12908,0.00138644,0.00138644,0.00138644
19,70.8692,1.87697,0.98377,0.90407,0.78111,0.61418,0.67883,0.30765,1.91509,1.43535,1.14565,0.00136994,0.00136994,0.00136994
20,74.3089,1.84015,0.96325,0.91503,0.84075,0.63735,0.7359,0.31428,2.16483,1.32629,1.15575,0.00135344,0.00135344,0.00135344
